symbol,company_name,year,pb,pe,ps,pb_peer_avg,pe_peer_avg,ps_peer_avg
BBSI.JK,PT Krom Bank Indonesia Tbk,2021,6.78818771443614,214.233543321464,132.351282244115,1.46630589795505,15.0145590632269,6.3740557278722
BBSI.JK,PT Krom Bank Indonesia Tbk,2022,3.75423158467524,153.825589477624,81.2602828716486,1.00852386298116,15.1292552726864,4.34357834686358
BBSI.JK,PT Krom Bank Indonesia Tbk,2023,4.20905163347307,101.451730055935,31.2309235858707,0.83232965465001,14.0723342502017,3.89944781671295
BBSI.JK,PT Krom Bank Indonesia Tbk,2024,4.8237247335629,112.798569023621,22.8205611723556,0.932091839711511,18.4025128202024,3.61350695366404
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk,2020,0.904799892134445,11.2864915331031,1.63545037870827,1.26242482560343,27.296475059198,6.37891855078523
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk,2021,0.847260199133475,7.6326882911439,1.19297441534585,1.46630589795505,15.0145590632269,6.3740557278722
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk,2022,0.661730122642193,5.63040689008112,1.05278502627142,1.00852386298116,15.1292552726864,4.34357834686358
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk,2023,0.575573809964648,5.01087135688097,1.07706219154393,0.83232965465001,14.0723342502017,3.89944781671295
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk,2024,0.635405262604644,5.58834908367361,1.2311512123193,0.932091839711511,18.4025128202024,3.61350695366404
BBYB.JK,PT Bank Neo Commerce Tbk.,2020,1.75349516651065,123.802923387097,10.8591733765121,1.26242482560343,27.296475059198,6.37891855078523
BBYB.JK,PT Bank Neo Commerce Tbk.,2021,8.48874050635539,-24.8720202699209,55.4389168495346,1.46630589795505,15.0145590632269,6.3740557278722
BBYB.JK,PT Bank Neo Commerce Tbk.,2022,2.05282821350268,-9.74198380602718,4.34357834686358,1.00852386298116,15.1292552726864,4.34357834686358
BBYB.JK,PT Bank Neo Commerce Tbk.,2023,1.57955328731321,-9.15753720702048,1.62402153442599,0.83232965465001,14.0723342502017,3.89944781671295
BBYB.JK,PT Bank Neo Commerce Tbk.,2024,1.06858549920246,-15.0716504225531,0.997691149389105,0.932091839711511,18.4025128202024,3.61350695366404
BCIC.JK,PT Bank JTrust Indonesia Tbk.,2020,12.6668248954777,-14.3216614613544,1515.17798645993,1.26242482560343,27.296475059198,6.37891855078523
BCIC.JK,PT Bank JTrust Indonesia Tbk.,2021,1.96150870840469,-6.47249917494157,20.0971746843914,1.46630589795505,15.0145590632269,6.3740557278722
BCIC.JK,PT Bank JTrust Indonesia Tbk.,2022,1.14479090773954,36.0074346867388,4.45185389241044,1.00852386298116,15.1292552726864,4.34357834686358
