symbol,company_name,year,tax,revenue,earnings,cash_only,total_debt,fixed_assets,gross_profit,total_assets,total_equity,operating_pnl,total_liabilities,current_liabilities,earnings_before_tax,cash_and_equivalents,total_cash_and_due_from_banks
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk,2020,668499000000.0,11058116000000,1602358000000.0,,50055367000000.0,,,361208406000000,19987845000000,2348712000000.0,341220561000000,,2270857000000,,32367194000000.0
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk,2021,617093000000.0,15203176000000,2376227000000.0,,43386098000000.0,,,371868311000000,21406647000000,3499634000000.0,350461664000000,,2993320000000,,40132672000000.0
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk,2022,830617000000.0,16285376000000,3045073000000.0,,42935525000000.0,,,402148312000000,25909354000000,3795744000000.0,376238958000000,,3875690000000,,40054368000000.0
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk,2023,879222000000.0,16287825000000,3500988000000.0,2127489999999.0,51333720000000.0,,,438749740000000,30479150000000,,408270580000000,,4380210000000,,50908480000001.0
BBYB.JK,PT Bank Neo Commerce Tbk.,2018,-1337000000.0,296187000000,-136988000000.0,,225030000000.0,,,4533729000000,600385000000,-132912000000.0,3933344000000,,-138325000000,,362111000000.0
BBYB.JK,PT Bank Neo Commerce Tbk.,2019,1856000000.0,231323000000,16003000000.0,,86188000000.0,,,5123735000000,945784000000,19733000000.0,4177951000000,,17858000000,,347260000000.0
BBYB.JK,PT Bank Neo Commerce Tbk.,2020,-44000000.0,180953000000,15872000000.0,,326391000000.0,,,5421324000000,1120619000000,41386000000.0,4300705000000,,15827000000,,169660000000.0
BBYB.JK,PT Bank Neo Commerce Tbk.,2021,-4131000000.0,442487000000,-986289000000.0,,97958000000.0,,,11337809000000,2889828000000,-985014000000.0,8447980000000,,-990421000000,,582697000000.0
BBYB.JK,PT Bank Neo Commerce Tbk.,2022,3117000000.0,1769739000000,-789059000000.0,,923566000000.0,,,19694280000000,3744590000000,-786575000000.0,15949690000000,,-785942000000,,1376853000000.0
BBYB.JK,PT Bank Neo Commerce Tbk.,2023,-692000000.0,3232049000000,-573180000000.0,12958000000.0,52820000000.0,,,18169541000000,3323039000000,,14846502000000,,-573872000000,,2589866000000.0
BCIC.JK,PT Bank JTrust Indonesia Tbk.,2018,-2480000000.0,459932000000,-401101000000.0,,3354812000000.0,,,17823669000000,961528000000,-355229000000.0,16862141000000,,-403581000000,,1563134000000.0
BCIC.JK,PT Bank JTrust Indonesia Tbk.,2019,-196000000.0,110522000000,49495000000.0,,3028235000000.0,,,17311597000000,1178326000000,7832000000.0,16133271000000,,49299000000,,1007018000000.0
BCIC.JK,PT Bank JTrust Indonesia Tbk.,2020,-96990000000.0,4579000000,-484441000000.0,,2367625000000.0,,,16204908000000,547730000000,-584801000000.0,15657178000000,,-581431000000,,1448967000000.0
BCIC.JK,PT Bank JTrust Indonesia Tbk.,2021,-103049000000.0,143453000000,-445423000000.0,,3716412000000.0,,,21317575000000,1469787000000,-532276000000.0,19847788000000,,-548472000000,,2839791000000.0
BCIC.JK,PT Bank JTrust Indonesia Tbk.,2022,-39374000000.0,700607000000,86621000000.0,,4958185000000.0,,,33617390000000,2724515000000,46551000000.0,30892875000000,,47247000000,,3279189000000.0
BCIC.JK,PT Bank JTrust Indonesia Tbk.,2023,-6092000000.0,1060263000000,27902000000.0,201930000000.0,573710000000.0,,,39234312000000,3759731000000,,35474581000000,,21810000000,,5931422000000.0
BDMN.JK,PT Bank Danamon Indonesia Tbk,2018,1354328000000.0,17928109000000,3427409000000.0,,24893565000000.0,,,186762189000000,41939821000000,5144157000000.0,144822368000000,,4925686000000,,10367283000000.0
BDMN.JK,PT Bank Danamon Indonesia Tbk,2019,1619447000000.0,20460156000000,3701125000000.0,,28354022000000.0,,,193533970000000,45417027000000,5487035000000.0,148116943000000,,5482009000000,,8774009000000.0
BDMN.JK,PT Bank Danamon Indonesia Tbk,2020,978134000000.0,17589501000000,1007614000000.0,,20090789000000.0,,,200890068000000,43575499000000,2135823000000.0,157314569000000,,2011296000000,,12194853000000.0
BDMN.JK,PT Bank Danamon Indonesia Tbk,2021,613092000000.0,17764864000000,1571471000000.0,,13536017000000.0,,,192207461000000,45197354000000,2300561000000.0,147010107000000,,2242348000000,,15708958000000.0
BDMN.JK,PT Bank Danamon Indonesia Tbk,2022,975000000000.0,17784283000000,3302314000000.0,,12554829000000.0,,,197729688000000,47478482000000,4461005000000.0,150251206000000,,4361438000000,,17410451000000.0
